LOCATION,Quantity,METER NUMBERS,RATE/HR,TIMELIMIT,TYPE
Aala Place,12,1175-1185,$0.75 ,2 HRS,On-street
Aala St.,73,1101-1173,$0.75 ,2 HRS,On-street
Alakea St.,4,401-404,$1.50 ,1 HR,On-street
Alapai St.,16,2127-2142,$0.75 ,2 HRS,On-street
Aloha Drive,19,4601-4620,$1.50 ,2 HRS,On-street
Auahi St.,45,3600-3644,$1.50 ,2 HRS,On-street
Beachwalk,6,4461-4468,$1.50 ,2 HRS,On-street
Bethel St.,19,1670-1688,$1.50 ,1 HR,On-street
Bishop St.,14,1631-1644,$1.50 ,1 HR,On-street
Fort St.,18,1600-1617,$1.50 ,1 HR,On-street
Hale Makai St.,6,4026,$0.75 ,2 HRS,On-street
Hobron Ln.,35,4401-4435,$1.50 ,2 HRS,On-street
Kalaimoku St.,21,4541-4567,$1.50 ,2 HRS,On-street
Kanekapolie St.,13,507-525,$1.50 ,2 HRS,On-street
Kapahulu Ave. Ala Wai-Kalakaua,39,387-429,$1.50 ,2 HRS,On-street
Kapahulu Ave. Winam-Harding,7,148-154,$1.50 ,1 HR,On-street
Keeaumoku St.,29,3020-3048,$0.75 ,2 HRS,On-street
Kukui St. Aala-College Walk,20,"600-608, 661-671",$1.50 ,1 HR,On-street
Kukui St. Queen Emma St-River,52,"609-639, 646-660",$0.75 ,1 HR,On-street
Lewers SR.,8,"716, 721-722, 732-736",$1.50 ,2 HRS,On-street
Marin St.,3,1650-1652,$1.50 ,1 HR,On-street
Maunakea St.,63,1238-1299,$1.50 ,1 HR,On-street
McCully St.,5,796-800,$1.50 ,2 HRS,On-street
Merchant St.,11,1655-1665,$1.50 ,1 HR,On-street
Mililani St.,11,1885-1895,$1.50 ,1 HR,On-street
N. Beretania St.,41,944-984,$0.75 ,1 HR,On-street
N. King St.,16,"1060-1061, 1079-1092",$0.75 ,2 HRS,On-street
N. King St.,15,"1063-1067, 1069-1078",$0.75 ,1 HR,On-street
Nahua St.,21,4701-4721,$1.50 ,2 HRS,On-street
Nohonani St.,13,4671-4686,$1.50 ,2 HRS,On-street
Nuuanu Ave.,56,1515-1570,$1.50 ,1 HR,On-street
Ohua Ave.,25,4801-4825,$1.50 ,2 HRS,On-street
Olohana St.,19,4513-4533,$1.50 ,2 HRS,On-street
Pali Hwy.,5,1501-1505,$1.50 ,1 HR,On-street
Paoakalani Ave.,18,4831-4848,$1.50 ,2 HRS,On-street
Pauahi St.,37,1701-1737,$1.50 ,1 HR,On-street
Pensacola St.,20,2351-2370,$0.75 ,2 HRS,On-street
"Piikoi St. Hopaka-Waimanu, S. King-Young",15,"2988-2996, 3008-3013",$0.75 ,1 HR,On-street
Puncbowl St.,83,2401-2480,$1.50 ,2 HRS,On-street
Queen Emma Sq.,18,450-467,$1.50 ,2 HRS,On-street
Queen Emma St. Queen Emma Sq-Vineyard,17,411-427,$1.50 ,2 HRS,On-street
Richards St.,32,1815-1846,$1.50 ,1 HR,On-street
River St.,27,1201-1230,$1.50 ,1 HR,On-street
Royal Hawaiian Ave.,7,4631-4640,$1.50 ,2 HRS,On-street
S. Beretania St.,100,2880-2883,$0.75 ,1 HR,On-street
S. King St. Mililani-Ward,86,143-228,$0.75 ,2 HRS,On-street
S. King St. Pensacola-Kalakuau,78,2501-2578,$0.75 ,1 HR,On-street
Saratoga Rd.,19,4441-4459,$1.50 ,2 HRS,On-street
Seaside Ave.,14,4651-4664,$1.50 ,1 HR,On-street
Smith St.,36,1304-1339,$1.50 ,1 HR,On-street
Uluniu Ave. (Waikiki),4,"4771, 4773-4775",$0.75 ,2 HRS,On-street
Uluniu St. (Kailua),53,5000-5052,$1.50 ,2 HRS,On-street
Vineyard St.,12,738-749,$1.50 ,2 HRS,On-street
Victoria St.,39,,$0.75 ,2 HRS,On-street
Walina St.,16,4731-4746,$1.50 ,2 HRS,On-street
12th Ave,9,85-93,$0.75 ,1HR,On-street
Ahana St.,28,3100-3127,$0.75 ,2 HRS,On-street
Amana St.,25,3070-3094,$0.75 ,2 HRS,On-street
